 VARIABLES= "X","Y","Z","PRESS"  
ZONE N=                                       27712 E=                             6928 F=FEPOINT, ET=QUADRILATERAL
      -167.53825        -1.54291        -7.58909    -21360.56841
      -166.24662        -0.73156        -7.65346    -21360.56841
      -166.11253        -1.53168        -7.05127    -21360.56841
      -167.53825        -1.54291        -7.58909    -21360.56841
      -166.24662        -0.73156        -7.65346    -21593.63357
      -167.53825        -1.54291        -7.58909    -21593.63357
      -167.54446        -0.94122        -7.86921    -21593.63357
      -166.24662        -0.73156        -7.65346    -21593.63357
      -166.11253        -1.53168        -7.05127    -20590.88850
      -164.93010        -0.61786        -7.45227    -20590.88850
      -164.71148        -1.52182        -6.42961    -20590.88850
      -166.11253        -1.53168        -7.05127    -20590.88850
      -164.93010        -0.61786        -7.45227    -20484.91979
      -166.11253        -1.53168        -7.05127    -20484.91979
      -166.24662        -0.73156        -7.65346    -20484.91979
      -164.93010        -0.61786        -7.45227    -20484.91979
      -164.71148        -1.52182        -6.42961    -20477.53080
      -163.66143        -0.64881        -7.11482    -20477.53080
      -163.48597        -1.51708        -5.57757    -20477.53080
      -164.71148        -1.52182        -6.42961    -20477.53080
      -163.66143        -0.64881        -7.11482    -19710.70134
      -164.71148        -1.52182        -6.42961    -19710.70134
      -164.93010        -0.61786        -7.45227    -19710.70134
      -163.66143        -0.64881        -7.11482    -19710.70134
      -163.48597        -1.51708        -5.57757    -21780.72956
      -162.67483        -0.91981        -6.23521    -21780.72956
      -162.67658        -1.52357        -4.25236    -21780.72956
      -163.48597        -1.51708        -5.57757    -21780.72956
      -162.67483        -0.91981        -6.23521    -20663.24826
      -163.48597        -1.51708        -5.57757    -20663.24826
      -163.66143        -0.64881        -7.11482    -20663.24826
      -162.67483        -0.91981        -6.23521    -20663.24826
      -167.54446        -0.94122        -7.86921    -20612.94033
      -166.30492        -0.53376        -8.60869    -20612.94033
      -166.24662        -0.73156        -7.65346    -20612.94033
      -167.54446        -0.94122        -7.86921    -20612.94033
      -166.30492        -0.53376        -8.60869    -20940.15764
      -167.54446        -0.94122        -7.86921    -20940.15764
      -167.54499        -0.67051        -8.47812    -20940.15764
      -166.30492        -0.53376        -8.60869    -20940.15764
      -166.24662        -0.73156        -7.65346    -19843.12044
      -165.06472        -0.37390        -8.71786    -19843.12044
      -164.93010        -0.61786        -7.45227    -19843.12044
      -166.24662        -0.73156        -7.65346    -19843.12044
      -165.06472        -0.37390        -8.71786    -20057.36768
      -166.24662        -0.73156        -7.65346    -20057.36768
      -166.30492        -0.53376        -8.60869    -20057.36768
      -165.06472        -0.37390        -8.71786    -20057.36768
      -164.93010        -0.61786        -7.45227    -19059.74279
      -163.81846        -0.27144        -8.72748    -19059.74279
      -163.66143        -0.64881        -7.11482    -19059.74279
      -164.93010        -0.61786        -7.45227    -19059.74279
      -163.81846        -0.27144        -8.72748    -19224.19345
      -164.93010        -0.61786        -7.45227    -19224.19345
      -165.06472        -0.37390        -8.71786    -19224.19345
      -163.81846        -0.27144        -8.72748    -19224.19345
      -163.66143        -0.64881        -7.11482    -19172.90559
      -162.67352        -0.28469        -8.20653    -19172.90559
      -162.67483        -0.91981        -6.23521    -19172.90559
      -163.66143        -0.64881        -7.11482    -19172.90559
      -162.67352        -0.28469        -8.20653    -18805.83359
      -163.66143        -0.64881        -7.11482    -18805.83359
      -163.81846        -0.27144        -8.72748    -18805.83359
      -162.67352        -0.28469        -8.20653    -18805.83359
      -167.54499        -0.67051        -8.47812    -21123.98947
      -166.35231        -0.72394        -9.52987    -21123.98947
      -166.30492        -0.53376        -8.60869    -21123.98947
      -167.54499        -0.67051        -8.47812    -21123.98947
      -166.35231        -0.72394        -9.52987    -20669.69241
      -167.54499        -0.67051        -8.47812    -20669.69241
      -167.53891        -0.92555        -9.09370    -20669.69241
      -166.35231        -0.72394        -9.52987    -20669.69241
      -166.30492        -0.53376        -8.60869    -19716.84295
      -165.15523        -0.51299        -9.93027    -19716.84295
      -165.06472        -0.37390        -8.71786    -19716.84295
      -166.30492        -0.53376        -8.60869    -19716.84295
      -165.15523        -0.51299        -9.93027    -19974.03359
      -166.30492        -0.53376        -8.60869    -19974.03359
      -166.35231        -0.72394        -9.52987    -19974.03359
      -165.15523        -0.51299        -9.93027    -19974.03359
      -165.06472        -0.37390        -8.71786    -18613.79633
      -163.93212        -0.35382       -10.27706    -18613.79633
      -163.81846        -0.27144        -8.72748    -18613.79633
      -165.06472        -0.37390        -8.71786    -18613.79633
      -163.93212        -0.35382       -10.27706    -18697.13687
      -165.06472        -0.37390        -8.71786    -18697.13687
      -165.15523        -0.51299        -9.93027    -18697.13687
      -163.93212        -0.35382       -10.27706    -18697.13687
      -163.81846        -0.27144        -8.72748    -17703.48454
      -162.66517        -0.17844       -10.26735    -17703.48454
      -162.67352        -0.28469        -8.20653    -17703.48454
      -163.81846        -0.27144        -8.72748    -17703.48454
      -162.66517        -0.17844       -10.26735    -17666.99156
      -163.81846        -0.27144        -8.72748    -17666.99156
      -163.93212        -0.35382       -10.27706    -17666.99156
      -162.66517        -0.17844       -10.26735    -17666.99156
      -167.53891        -0.92555        -9.09370    -19499.14789
      -166.34349        -1.49685       -10.04434    -19499.14789
      -166.35231        -0.72394        -9.52987    -19499.14789
      -167.53891        -0.92555        -9.09370    -19499.14789
      -166.34349        -1.49685       -10.04434    -18689.75051
      -167.53891        -0.92555        -9.09370    -18689.75051
      -167.53008        -1.52011        -9.38916    -18689.75051
      -166.34349        -1.49685       -10.04434    -18689.75051
      -166.35231        -0.72394        -9.52987    -18349.49968
      -165.13600        -1.47382       -10.66008    -18349.49968
      -165.15523        -0.51299        -9.93027    -18349.49968
      -166.35231        -0.72394        -9.52987    -18349.49968
