 VARIABLES= "X","Y","Z","yita"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ZONE N=                                       11856 E=                             2964 F=FEPOINT, ET=QUADRILATERAL                                                                                                                                                                                                                                                                                                                                                                                                             
       344.54530      -303.96600         2.57013         2.57013
       344.54530      -287.96779         2.57013         2.57013
       331.54182      -287.96779         2.57013         2.57013
       331.54182      -303.96600         2.57013         2.57013
       344.54530      -287.96779         2.57013         2.57013
       344.54530      -271.96958         1.57608         1.57608
       331.54182      -271.96958         1.57608         1.57608
       331.54182      -287.96779         2.57013         2.57013
       344.54530      -271.96958         1.57608         1.57608
       344.54530      -255.97137         0.20132         0.20132
       331.54182      -255.97137         0.20132         0.20132
       331.54182      -271.96958         1.57608         1.57608
       344.54530      -255.97137         0.20132         0.20132
       344.54530      -239.97316        -0.59093        -0.59093
       331.54182      -239.97316        -0.59093        -0.59093
       331.54182      -255.97137         0.20132         0.20132
       344.54530      -239.97316        -0.59093        -0.59093
       344.54530      -223.97495        -0.54408        -0.54408
       331.54182      -223.97495        -0.54408        -0.54408
       331.54182      -239.97316        -0.59093        -0.59093
       344.54530      -223.97495        -0.54408        -0.54408
       344.54530      -207.97674        -0.64878        -0.64878
       331.54182      -207.97674        -0.64878        -0.64878
       331.54182      -223.97495        -0.54408        -0.54408
       344.54530      -207.97674        -0.64878        -0.64878
       344.54530      -191.97853        -0.96557        -0.96557
       331.54182      -191.97853        -0.96557        -0.96557
       331.54182      -207.97674        -0.64878        -0.64878
       344.54530      -191.97853        -0.96557        -0.96557
       344.54530      -175.98032        -1.01016        -1.01016
       331.54182      -175.98032        -1.01016        -1.01016
       331.54182      -191.97853        -0.96557        -0.96557
       344.54530      -175.98032        -1.01016        -1.01016
       344.54530      -159.98210        -0.88722        -0.88722
       331.54182      -159.98210        -0.88722        -0.88722
       331.54182      -175.98032        -1.01016        -1.01016
       344.54530      -159.98210        -0.88722        -0.88722
       344.54530      -143.98389        -0.68742        -0.68742
       331.54182      -143.98389        -0.68742        -0.68742
       331.54182      -159.98210        -0.88722        -0.88722
       344.54530      -143.98389        -0.68742        -0.68742
       344.54530      -127.98568        -0.77335        -0.77335
       331.54182      -127.98568        -0.77335        -0.77335
       331.54182      -143.98389        -0.68742        -0.68742
       344.54530      -127.98568        -0.77335        -0.77335
       344.54530      -111.98747        -1.12036        -1.12036
       331.54182      -111.98747        -1.12036        -1.12036
       331.54182      -127.98568        -0.77335        -0.77335
       344.54530      -111.98747        -1.12036        -1.12036
       344.54530       -95.98926        -1.51631        -1.51631
       331.54182       -95.98926        -1.51631        -1.51631
